ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1(AGPAT1)	Homo sapiens	GO:0001819~positive regulation of cytokine production,GO:0001961~positive regulation of cytokine-mediated signaling pathway,GO:0006644~phospholipid metabolic process,GO:0006654~phosphatidic acid biosynthetic process,GO:0008654~phospholipid biosynthetic process,GO:0016024~CDP-diacylglycerol biosynthetic process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0003841~1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0005515~protein binding,	IPR002123:Phospholipid/glycerol acyltransferase,IPR004552:1-acyl-sn-glycerol-3-phosphate acyltransferase,	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,hsa04072:Phospholipase D signaling pathway,hsa04975:Fat digestion and absorption,			SM00563:PlsC,	KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,KW-0594~Phospholipid biosynthesis,KW-1208~Phospholipid metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0012~Acyltransferase,KW-0808~Transferase,		DOMAIN:PlsC,MOTIF:EGTR motif,MOTIF:HXXXXD motif,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)(ACCS)	Homo sapiens	GO:0006520~cellular amino acid metabolic process,GO:0009058~biosynthetic process,GO:0042218~1-aminocyclopropane-1-carboxylate biosynthetic process,		GO:0003824~catalytic activity,GO:0005515~protein binding,GO:0008483~transaminase activity,GO:0030170~pyridoxal phosphate binding,GO:0042802~identical protein binding,	IPR004839:Aminotransferase, class I/classII,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,									KW-0663~Pyridoxal phosphate,			DOMAIN:Aminotran_1_2,REGION:Disordered,
HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1(HMGCLL1)	Homo sapiens	GO:0006552~leucine catabolic process,GO:0006629~lipid metabolic process,GO:0046951~ketone body biosynthetic process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0016020~membrane,GO:0048471~perinuclear region of cytoplasm,	GO:0004419~hydroxymethylglutaryl-CoA lyase activity,GO:0046872~metal ion binding,	IPR000891:Pyruvate carboxyltransferase,IPR013785:Aldolase-type TIM barrel,	hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,hsa01100:Metabolic pathways,hsa04146:Peroxisome,				KW-0443~Lipid metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0963~Cytoplasm,			KW-0479~Metal-binding,	KW-0456~Lyase,	KW-0449~Lipoprotein,KW-0519~Myristate,	DOMAIN:Pyruvate carboxyltransferase,LIPID:N-myristoyl glycine,MUTAGEN:G->A: Abolishes myristoylation and induces a subcellular location change.,MUTAGEN:H->R: Abolishes catalytic activity.,MUTAGEN:L->S: Abolishes catalytic activity.,MUTAGEN:R->Q: Abolishes catalytic activity.,
HPD	4-hydroxyphenylpyruvate dioxygenase(HPD)	Homo sapiens	GO:0006559~L-phenylalanine catabolic process,GO:0006572~tyrosine catabolic process,	GO:0000139~Golgi membrane,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003868~4-hydroxyphenylpyruvate dioxygenase activity,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,	IPR004360:Glyoxalase/fosfomycin resistance/dioxygenase domain,IPR005956:4-hydroxyphenylpyruvate dioxygenase,	hsa00130:Ubiquinone and other terpenoid-quinone biosynthesis,hsa00350:Tyrosine metabolism,hsa00360:Phenylalanine metabolism,hsa01100:Metabolic pathways,hsa01240:Biosynthesis of cofactors,	140350~Hawkinsinuria,276710~Tyrosinemia, type III,	PIRSF009283:4-hydroxyphenylpyruvate dioxygenase,		KW-0585~Phenylalanine catabolism,KW-0828~Tyrosine catabolism,	KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0963~Cytoplasm,	KW-0225~Disease variant,KW-0991~Intellectual disability,	KW-0677~Repeat,	KW-0408~Iron,KW-0479~Metal-binding,	KW-0223~Dioxygenase,KW-0560~Oxidoreductase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:VOC,DOMAIN:VOC 1,DOMAIN:VOC 2,
HTR2A	5-hydroxytryptamine receptor 2A(HTR2A)	Homo sapiens	GO:0001659~temperature homeostasis,GO:0006096~glycolytic process,GO:0006874~cellular calcium ion homeostasis,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007202~activation of phospholipase C activity,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007208~phospholipase C-activating serotonin receptor signaling pathway,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007568~aging,GO:0007613~memory,GO:0008219~cell death,GO:0008284~positive regulation of cell proliferation,GO:0009410~response to xenobiotic stimulus,GO:0010513~positive regulation of phosphatidylinositol biosynthetic process,GO:0014059~regulation of dopamine secretion,GO:0014065~phosphatidylinositol 3-kinase signaling,GO:0014824~artery smooth muscle contraction,GO:0014832~urinary bladder smooth muscle contraction,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030431~sleep,GO:0042493~response to drug,GO:0043267~negative regulation of potassium ion transport,GO:0043406~positive regulation of MAP kinase activity,GO:0044380~protein localization to cytoskeleton,GO:0045600~positive regulation of fat cell differentiation,GO:0045821~positive regulation of glycolytic process,GO:0045907~positive regulation of vasoconstriction,GO:0046718~viral entry into host cell,GO:0048148~behavioral response to cocaine,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050965~detection of temperature stimulus involved in sensory perception of pain,GO:0050966~detection of mechanical stimulus involved in sensory perception of pain,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051967~negative regulation of synaptic transmission, glutamatergic,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0098664~G-protein coupled serotonin receptor signaling pathway,GO:2000300~regulation of synaptic vesicle exocytosis,	GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005901~caveola,GO:0030424~axon,GO:0030425~dendrite,GO:0031410~cytoplasmic vesicle,GO:0042734~presynaptic membrane,GO:0043025~neuronal cell body,GO:0043198~dendritic shaft,GO:0045211~postsynaptic membrane,GO:0070852~cell body fiber,GO:0098666~G-protein coupled serotonin receptor complex,GO:0098793~presynapse,GO:0098978~glutamatergic synapse,GO:0099055~integral component of postsynaptic membrane,GO:0099056~integral component of presynaptic membrane,	GO:0001587~Gq/11-coupled serotonin receptor activity,GO:0001618~virus receptor activity,GO:0004993~G-protein coupled serotonin receptor activity,GO:0005515~protein binding,GO:0030594~neurotransmitter receptor activity,GO:0042802~identical protein binding,GO:0044877~macromolecular complex binding,GO:0051378~serotonin binding,GO:0071886~1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000455:5-Hydroxytryptamine 2A receptor,IPR002231:5-Hydroxytryptamine receptor family,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04540:Gap junction,hsa04726:Serotonergic synapse,hsa04750:Inflammatory mediator regulation of TRP channels,	103780~Alcohol dependence, susceptibility to,164230~Obsessive-compulsive disorder, susceptibility to,181500~Schizophrenia, susceptibility to,606788~Anorexia nervosa, susceptibility to,608516~Major depressive disorder, response to citalopram therapy in,608516~Seasonal affective disorder, susceptibility to,		SM01381:SM01381,	KW-0085~Behavior,KW-0945~Host-virus interaction,	KW-0472~Membrane,KW-0770~Synapse,KW-0966~Cell projection,KW-0968~Cytoplasmic vesicle,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,KW-1183~Host cell receptor for virus entry,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:G_PROTEIN_RECEP_F1_2,MOTIF:DRY motif; important for ligand-induced conformation changes,MOTIF:NPxxY motif; important for ligand-induced conformation changes and signaling,MOTIF:PDZ-binding,MUTAGEN:C->S: No effect on interaction with PATJ. Acquires the binding properties of HTR2C; when associated with S-465.,MUTAGEN:G->V: Loss of interaction with PATJ.,MUTAGEN:L->A: Strongly increases dissociation of bound lysergic acid diethylamine, without affecting binding affinity. Reduces signaling via arrestins, but has no effect on signaling via the phosphatidylinositol-calcium second messenger system.,MUTAGEN:N->S: No effect on interaction with PATJ. Acquires the binding properties of HTR2C; when associated with S-470.,MUTAGEN:S->A: Increased ability of hallucinogens to desensitize the receptor.,MUTAGEN:S->D: Reduced receptor desensitization by nonhallucinogenic agonists.,MUTAGEN:V->A: Loss of interaction with PATJ, CASK, APBA1, DLG1 and DLG4.,REGION:Disordered,SITE:Hydrophobic barrier that decreases the speed of ligand binding and dissociation,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
ADAM12	ADAM metallopeptidase domain 12(ADAM12)	Homo sapiens	GO:0006508~proteolysis,GO:0007155~cell adhesion,GO:0007520~myoblast fusion,GO:0045766~positive regulation of angiogenesis,	GO:0005576~extracellular region,GO:0005654~nucleoplasm,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0004222~metalloendopeptidase activity,GO:0005515~protein binding,GO:0008237~metallopeptidase activity,GO:0017124~SH3 domain binding,GO:0046872~metal ion binding,	IPR000742:Epidermal growth factor-like domain,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR018358:Disintegrin, conserved site,IPR024079:Metallopeptidase, catalytic domain,				SM00050:DISIN,SM00608:ACR,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,		KW-0245~EGF-like domain,KW-0729~SH3-binding,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0378~Hydrolase,KW-0401~Integrin,KW-0482~Metalloprotease,KW-0645~Protease,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	BINDING:in inhibited form,CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:Disintegrin,DOMAIN:EGF-like,DOMAIN:Peptidase M12B,MOTIF:Cysteine switch,MOTIF:SH3-binding; class I,MOTIF:SH3-binding; class II,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
ADAM33	ADAM metallopeptidase domain 33(ADAM33)	Homo sapiens	GO:0006508~proteolysis,GO:0007229~integrin-mediated signaling pathway,	GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0004222~metalloendopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,	IPR000742:Epidermal growth factor-like domain,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR018358:Disintegrin, conserved site,IPR024079:Metallopeptidase, catalytic domain,				SM00050:DISIN,SM00608:ACR,		KW-0472~Membrane,	KW-1058~Asthma,	KW-0245~EGF-like domain,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0378~Hydrolase,KW-0401~Integrin,KW-0482~Metalloprotease,KW-0645~Protease,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	BINDING:in inhibited form,CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,DOMAIN:Disintegrin,DOMAIN:EGF-like,DOMAIN:Pep_M12B_propep,DOMAIN:Peptidase M12B,MOTIF:Cysteine switch,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14(ADAMTS14)	Homo sapiens	GO:0006508~proteolysis,GO:0030198~extracellular matrix organization,GO:0030199~collagen fibril organization,GO:0030574~collagen catabolic process,	GO:0005576~extracellular region,GO:0031012~extracellular matrix,	GO:0004222~metalloendopeptidase activity,GO:0046872~metal ion binding,	IPR000884:Thrombospondin, type 1 repeat,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR010294:ADAM-TS Spacer 1,IPR010909:PLAC,IPR013273:Peptidase M12B, ADAM-TS,IPR024079:Metallopeptidase, catalytic domain,				SM00209:TSP1,SM00608:ACR,	KW-0177~Collagen degradation,	KW-0272~Extracellular matrix,KW-0964~Secreted,		KW-0677~Repeat,KW-0732~Signal,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0378~Hydrolase,KW-0482~Metalloprotease,KW-0645~Protease,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:Disintegrin,DOMAIN:PLAC,DOMAIN:Peptidase M12B,DOMAIN:TSP type-1 1,DOMAIN:TSP type-1 2,DOMAIN:TSP type-1 3,DOMAIN:TSP type-1 4,REGION:Disordered,REGION:Spacer,
ADAMTSL4	ADAMTS like 4(ADAMTSL4)	Homo sapiens	GO:0002064~epithelial cell development,GO:0006915~apoptotic process,GO:0030198~extracellular matrix organization,GO:0043065~positive regulation of apoptotic process,GO:0070285~pigment cell development,	GO:0005576~extracellular region,GO:0005614~interstitial matrix,GO:0005788~endoplasmic reticulum lumen,GO:0031012~extracellular matrix,	GO:0002020~protease binding,GO:0004222~metalloendopeptidase activity,GO:0005515~protein binding,GO:0042802~identical protein binding,	IPR000884:Thrombospondin, type 1 repeat,IPR010294:ADAM-TS Spacer 1,IPR010909:PLAC,		225100~Ectopia lentis, isolated, autosomal recessive,225200~Ectopia lentis et pupillae,		SM00209:TSP1,	KW-0053~Apoptosis,	KW-0272~Extracellular matrix,KW-0964~Secreted,		KW-0677~Repeat,KW-0732~Signal,			KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) (complex) asparagine,CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:PLAC,DOMAIN:TSP type-1 1,DOMAIN:TSP type-1 2,DOMAIN:TSP type-1 3,DOMAIN:TSP type-1 4,DOMAIN:TSP type-1 5,DOMAIN:TSP type-1 6,REGION:Disordered,
ADCYAP1R1	ADCYAP receptor type I(ADCYAP1R1)	Homo sapiens	GO:0007166~cell surface receptor signaling pathway,GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway,GO:0007202~activation of phospholipase C activity,GO:0007283~spermatogenesis,GO:0009410~response to xenobiotic stimulus,GO:0010524~positive regulation of calcium ion transport into cytosol,GO:0019933~cAMP-mediated signaling,GO:0030154~cell differentiation,GO:0032355~response to estradiol,GO:0033555~multicellular organismal response to stress,GO:0042493~response to drug,GO:0043950~positive regulation of cAMP-mediated signaling,GO:0045471~response to ethanol,GO:0046545~development of primary female sexual characteristics,GO:0051057~positive regulation of small GTPase mediated signal transduction,GO:0060548~negative regulation of cell death,GO:0060732~positive regulation of inositol phosphate biosynthetic process,	GO:0005768~endosome,GO:0005791~rough endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005901~caveola,GO:0005923~bicellular tight junction,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0043005~neuron projection,GO:0043231~intracellular membrane-bounded organelle,GO:0043235~receptor complex,	GO:0004930~G-protein coupled receptor activity,GO:0004999~vasoactive intestinal polypeptide receptor activity,GO:0005515~protein binding,GO:0008179~adenylate cyclase binding,GO:0008528~G-protein coupled peptide receptor activity,GO:0017046~peptide hormone binding,GO:0031267~small GTPase binding,GO:0038023~signaling receptor activity,GO:0042923~neuropeptide binding,	IPR000832:GPCR, family 2, secretin-like,IPR001879:GPCR, family 2, extracellular hormone receptor domain,IPR002285:GPCR, family 2, pituitary adenylate cyclase activating polypeptide type 1 receptor,IPR017981:GPCR, family 2-like,IPR017983:GPCR, family 2, secretin-like, conserved site,	hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04713:Circadian entrainment,hsa04911:Insulin secretion,hsa04924:Renin secretion,			SM00008:HormR,	KW-0221~Differentiation,KW-0744~Spermatogenesis,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0217~Developmental protein,KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,KW-9996~Developmental protein,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:G_PROTEIN_RECEP_F2_3,DOMAIN:G_PROTEIN_RECEP_F2_4,MUTAGEN:E->R: Reduced affinity for ADCYAP1.,MUTAGEN:P->A: Reduced affinity for ADCYAP1.,MUTAGEN:V->A: Reduced affinity for ADCYAP1.,MUTAGEN:Y->A: Strongly reduced affinity for ADCYAP1.,REGION:Important for ligand binding and specificity,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
